state,tru_id,age_group_id,population_total,population_male,population_female,main_workers_total,main_workers_male,main_workers_female,marginal_workers_total,marginal_workers_male,marginal_workers_female,marg_3_6mo_total,marg_3_6mo_male,marg_3_6mo_female,marg_less_3mo_total,marg_less_3mo_male,marg_less_3mo_female,non_workers_total,non_workers_male,non_workers_female,seeking_work_total,seeking_work_male,seeking_work_female
14,3,2,82921,41932,40989,1083,634,449,553,250,303,1726,793,933,930,397,533,79559,40255,39304,4277,2151,2126
14,3,3,73969,36589,37380,5161,3187,1974,1446,622,824,4225,1848,2377,3279,1545,1734,63137,30932,32205,16508,8333,8175
14,3,4,77043,37364,39679,19339,12537,6802,2374,911,1463,8520,3480,5040,6689,3106,3583,46810,20436,26374,21358,10443,10915
14,3,5,81590,39262,42328,34800,23003,11797,2679,931,1748,10829,4290,6539,7759,3458,4301,33282,11038,22244,16101,6694,9407
14,3,6,69032,33535,35497,35906,24389,11517,2140,685,1455,9271,3625,5646,5809,2635,3174,21715,4836,16879,8871,2955,5916
14,3,7,62828,30380,32448,35554,24000,11554,1898,581,1317,8067,3112,4955,4502,2008,2494,17309,2687,14622,5505,1337,4168
14,3,8,100551,49711,50840,62250,41300,20950,2629,775,1854,11590,4255,7335,4738,2086,2652,24082,3381,20701,4439,1003,3436
14,3,9,69590,34347,35243,43284,28188,15096,1693,487,1206,6980,2453,4527,2033,782,1251,17633,3219,14414,1698,418,1280
14,3,10,39316,19233,20083,16062,10635,5427,1072,360,712,3588,1498,2090,850,349,501,18594,6740,11854,982,379,603
14,3,11,19437,9177,10260,4862,3247,1615,391,176,215,1262,615,647,253,120,133,12922,5139,7783,265,106,159
14,3,12,9652,4363,5289,1389,957,432,111,60,51,428,237,191,99,55,44,7724,3109,4615,144,58,86
14,3,13,2125,1089,1036,533,344,189,28,5,23,194,86,108,80,31,49,1370,654,716,138,62,76
14,3,14,534603,261188,273415,236294,156604,79690,14859,4992,9867,59482,23063,36419,34809,15620,19189,223968,76529,147439,74480,31183,43297
14,3,15,68405,32773,35632,22313,14839,7474,1574,596,978,5278,2350,2928,1202,524,678,39240,14988,24252,1391,543,848
15,1,16,1097206,555339,541867,415030,263305,151725,17951,7809,10142,53724,19626,34098,21926,10905,11021,610501,264599,345902,52963,22327,30636
15,1,1,117788,59888,57900,448,225,223,695,342,353,350,174,176,106,52,54,116295,59147,57148,1925,954,971
15,1,2,116981,59526,57455,2345,1237,1108,2552,1256,1296,1388,610,778,482,249,233,110696,56423,54273,3682,1867,1815
15,1,3,110343,55907,54436,21705,12934,8771,3432,1729,1703,5702,2655,3047,3218,1706,1512,79504,38589,40915,13192,6507,6685
15,1,4,111708,55512,56196,49444,31458,17986,2909,1326,1583,9350,3937,5413,5258,2825,2433,50005,18791,31214,15161,6825,8336
15,1,5,102346,51390,50956,61477,39976,21501,2111,838,1273,8909,3377,5532,4418,2180,2238,29849,7199,22650,8453,3215,5238
15,1,6,88374,44341,44033,58894,37902,20992,1462,555,907,6994,2371,4623,2882,1405,1477,21024,3513,17511,4514,1368,3146
15,1,7,72384,36817,35567,51915,32870,19045,1067,385,682,5085,1543,3542,1962,862,1100,14317,2019,12298,2616,651,1965
15,1,8,111355,56998,54357,83428,52042,31386,1359,487,872,7156,1970,5186,2059,920,1139,19412,2499,16913,1951,486,1465
15,1,9,75433,38695,36738,55347,34769,20578,905,299,606,4679,1335,3344,966,453,513,14502,2292,12210,812,217,595
15,1,10,40650,20471,20179,22472,14628,7844,785,275,510,2761,985,1776,418,173,245,14632,4583,10049,469,160,309
15,1,11,19804,9992,9812,6178,4293,1885,525,243,282,1100,533,567,118,62,56,12001,4923,7078,97,37,60
15,1,12,8174,3882,4292,1172,836,336,136,65,71,213,117,96,28,13,15,6653,2864,3789,70,29,41
15,1,13,633,379,254,205,135,70,13,9,4,37,19,18,11,5,6,378,216,162,21,11,10
15,1,14,671943,339660,332283,382210,241951,140259,13245,5619,7626,47875,17188,30687,20763,10351,10412,228613,74902,153711,46699,19269,27430
15,1,15,68628,34345,34283,29822,19757,10065,1446,583,863,4074,1635,2439,564,248,316,33286,12370,20916,636,226,410
15,2,16,525435,269135,256300,217824,134888,82936,9415,3458,5957,25143,6745,18398,8308,3364,4944,273053,124044,149009,13487,5933,7554
15,2,1,64896,33073,31823,253,126,127,564,281,283,221,108,113,58,28,30,63858,32558,31300,923,467,456
15,2,2,60088,30836,29252,1763,910,853,1845,885,960,937,392,545,301,146,155,55543,28649,26894,1714,870,844
15,2,3,50257,26000,24257,15189,8767,6422,1946,909,1037,3178,1286,1892,1594,781,813,29944,15038,14906,4255,2198,2057
15,2,4,50969,25314,25655,30074,18354,11720,1311,413,898,4421,1295,3126,2033,897,1136,15163,5252,9911,3236,1478,1758
15,2,5,46384,23442,22942,32605,20602,12003,896,207,689,3993,968,3025,1561,575,986,8890,1665,7225,1475,504,971
15,2,6,38740,19801,18939,29160,18342,10818,572,111,461,2956,582,2374,907,316,591,6052,766,5286,751,173,578
15,2,7,31629,16461,15168,25081,15589,9492,414,97,317,2123,383,1740,598,192,406,4011,392,3619,391,60,331
15,2,8,47863,24908,22955,38726,23668,15058,545,129,416,3027,540,2487,680,216,464,5565,571,4994,360,70,290
15,2,9,34861,18308,16553,27809,17161,10648,410,91,319,2220,442,1778,344,125,219,4422,614,3808,184,45,139
15,2,10,19614,10215,9399,12792,8289,4503,472,132,340,1367,410,957,168,61,107,4983,1384,3599,137,46,91
15,2,11,9171,4783,4388,3594,2546,1048,345,163,182,587,282,305,52,24,28,4645,1792,2853,38,12,26
15,2,12,3711,1763,1948,660,460,200,93,40,53,98,52,46,9,2,7,2860,1211,1649,19,7,12
15,2,13,280,154,126,118,74,44,2,0,2,15,5,10,3,1,2,145,75,70,4,3,1
15,2,14,300703,154234,146469,198644,122483,76161,6094,1957,4137,21918,5496,16422,7717,3102,4615,74047,24298,49749,10652,4528,6124
15,2,15,32496,16761,15735,17046,11295,5751,910,335,575,2052,744,1308,229,87,142,12488,4387,8101,194,65,129
15,3,16,571771,286204,285567,197206,128417,68789,8536,4351,4185,28581,12881,15700,13618,7541,6077,337448,140555,196893,39476,16394,23082
15,3,1,52892,26815,26077,195,99,96,131,61,70,129,66,63,48,24,24,52437,26589,25848,1002,487,515
15,3,2,56893,28690,28203,582,327,255,707,371,336,451,218,233,181,103,78,55153,27774,27379,1968,997,971
15,3,3,60086,29907,30179,6516,4167,2349,1486,820,666,2524,1369,1155,1624,925,699,49560,23551,26009,8937,4309,4628
15,3,4,60739,30198,30541,19370,13104,6266,1598,913,685,4929,2642,2287,3225,1928,1297,34842,13539,21303,11925,5347,6578
15,3,5,55962,27948,28014,28872,19374,9498,1215,631,584,4916,2409,2507,2857,1605,1252,20959,5534,15425,6978,2711,4267
15,3,6,49634,24540,25094,29734,19560,10174,890,444,446,4038,1789,2249,1975,1089,886,14972,2747,12225,3763,1195,2568
15,3,7,40755,20356,20399,26834,17281,9553,653,288,365,2962,1160,1802,1364,670,694,10306,1627,8679,2225,591,1634
15,3,8,63492,32090,31402,44702,28374,16328,814,358,456,4129,1430,2699,1379,704,675,13847,1928,11919,1591,416,1175
15,3,9,40572,20387,20185,27538,17608,9930,495,208,287,2459,893,1566,622,328,294,10080,1678,8402,628,172,456
15,3,10,21036,10256,10780,9680,6339,3341,313,143,170,1394,575,819,250,112,138,9649,3199,6450,332,114,218
15,3,11,10633,5209,5424,2584,1747,837,180,80,100,513,251,262,66,38,28,7356,3131,4225,59,25,34
15,3,12,4463,2119,2344,512,376,136,43,25,18,115,65,50,19,11,8,3793,1653,2140,51,22,29
15,3,13,353,225,128,87,61,26,11,9,2,22,14,8,8,4,4,233,141,92,17,8,9
15,3,14,371240,185426,185814,183566,119468,64098,7151,3662,3489,25957,11692,14265,13046,7249,5797,154566,50604,103962,36047,14741,21306
15,3,15,36132,17584,18548,12776,8462,4314,536,248,288,2022,891,1131,335,161,174,20798,7983,12815,442,161,281
16,1,16,3673917,1874376,1799541,1077019,887881,189138,93940,30716,63224,298562,126729,171833,271972,121294,150678,2204396,829050,1375346,497234,136368,360866
16,1,1,337735,172541,165194,995,577,418,308,156,152,1390,714,676,625,323,302,335042,171094,163948,4227,2155,2072
16,1,2,357690,183001,174689,4003,2758,1245,2202,1074,1128,4662,2354,2308,3623,1899,1724,346823,176815,170008,16175,8211,7964
16,1,3,357829,181136,176693,33555,25818,7737,9539,5163,4376,27000,14541,12459,27113,15461,11652,287735,135614,152121,99968,46242,53726
16,1,4,373177,183779,189398,103034,85031,18003,15232,6986,8246,51190,25996,25194,51714,27961,23753,203721,65766,137955,121065,42232,78833
16,1,5,344149,175059,169090,148744,124906,23838,14203,4630,9573,49093,22225,26868,48406,22630,25776,132109,23298,108811,80672,17427,63245
16,1,6,286989,149231,137758,146252,122304,23948,11057,2619,8438,37622,14999,22623,36203,14723,21480,92058,9309,82749,53151,6834,46317
16,1,7,279342,143051,136291,151859,124342,27517,10610,2029,8581,34162,11592,22570,32184,11230,20954,82711,5088,77623,43247,3389,39858
16,1,8,444220,230810,213410,252960,205692,47268,14839,2731,12108,48025,15406,32619,41563,14171,27392,128396,6981,121415,48718,3545,45173
16,1,9,279060,148476,130584,152709,126155,26554,8257,2084,6173,25516,9382,16134,18941,7405,11536,92578,10855,81723,18416,2612,15804
16,1,10,167609,84655,82954,57816,48797,9019,5083,1916,3167,13517,5979,7538,8364,3744,4620,91193,27963,63230,8369,2621,5748
16,1,11,82410,39794,42616,19005,16313,2692,1955,977,978,4766,2632,2134,2451,1335,1116,56684,19872,36812,2244,798,1446
16,1,12,39525,17471,22054,5722,4896,826,634,343,291,1509,856,653,721,381,340,31660,11376,20284,857,271,586
